day,location,occupy_0000,occupy_0100,occupy_0200,occupy_0300,occupy_0400,occupy_0500,occupy_0600,occupy_0700,occupy_0800,occupy_0900,occupy_1000,occupy_1100,occupy_1200,occupy_1300,occupy_1400,occupy_1500,occupy_1600,occupy_1700,occupy_1800,occupy_1900,occupy_2000,occupy_2100,occupy_2200,occupy_2300
tue,bishan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43329999999999996,0.625,0.6833,0.6583500000000001,0.5832999999999999,0.5333,0.55,0.55,0.59165,0.7167,0.8833,0.95,0.7333,0.0,0.0
wed,bishan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19165,0.29164999999999996,0.4833,0.55835,0.6583500000000001,0.6667000000000001,0.6,0.4667,0.5917,0.65,0.6167,0.7333,0.9167000000000001,0.925,0.19165,0.0,0.0
thu,bishan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44165,0.5667,0.5,0.43329999999999996,0.4,0.43329999999999996,0.6333,0.6,0.7167,0.7667,0.9833,0.9667,0.6667000000000001,0.0,0.0
fri,bishan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833,0.29164999999999996,0.4667,0.5167,0.5832999999999999,0.6167,0.50835,0.6667000000000001,0.6916499999999999,0.55,0.6416499999999999,0.7333,0.95835,0.79165,0.6333,0.0,0.0
sat,bishan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.625,0.63335,0.6416499999999999,0.7,0.6333,0.7,0.725,0.6333,0.65,0.6416499999999999,0.0,0.0,0.0,0.0
sun,bishan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.5667,0.6167,0.6416499999999999,0.6416499999999999,0.7,0.775,0.8667,0.8083500000000001,0.7667,0.61665,0.0,0.0,0.0,0.0
mon,clementi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.3333,0.4533,0.52,0.52,0.5067,0.4267,0.4267,0.49329999999999996,0.5467,0.5733,0.6533,0.7467,0.76,0.56,0.0,0.0
tue,clementi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36665,0.4267,0.4533,0.44,0.4133,0.4,0.4667,0.5067,0.5067,0.6,0.7867000000000001,0.8133,0.5867,0.0,0.0
wed,clementi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267,0.30670000000000003,0.4267,0.48,0.49329999999999996,0.48,0.4267,0.44,0.49329999999999996,0.52,0.5467,0.64,0.7867000000000001,0.7867000000000001,0.5467,0.0,0.0
thu,clementi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30670000000000003,0.37329999999999997,0.38670000000000004,0.38670000000000004,0.37329999999999997,0.37329999999999997,0.4267,0.48,0.49329999999999996,0.56,0.6667000000000001,0.7067,0.5333,0.0,0.0
fri,clementi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2933,0.44,0.44,0.49329999999999996,0.49329999999999996,0.4533,0.5067,0.52,0.49329999999999996,0.5067,0.5867,0.6133,0.5867,0.4533,0.0,0.0
sat,clementi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37329999999999997,0.52,0.56,0.5333,0.49329999999999996,0.5067,0.56,0.5867,0.6,0.5733,0.48,0.0,0.0,0.0,0.0
sun,clementi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.48,0.5333,0.5333,0.5067,0.56,0.6267,0.6267,0.6133,0.5733,0.51335,0.0,0.0,0.0,0.0
mon,yck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1778,0.3333,0.42219999999999996,0.5111,0.6111,0.6889,0.6667000000000001,0.6444,0.7111,0.7444,0.7667,0.8332999999999999,0.9111,0.8778,0.7889,0.0,0.0
tue,yck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556,0.43329999999999996,0.5111,0.5889,0.6333,0.6444,0.7,0.7111,0.7333,0.8222,0.9333,0.9444,0.8111,0.0,0.0
wed,yck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560000000000002,0.23329999999999998,0.3111,0.44439999999999996,0.5667,0.6556000000000001,0.6667000000000001,0.6667000000000001,0.7222,0.7556,0.7333,0.8111,0.9222,0.9333,0.8332999999999999,0.0,0.0
thu,yck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3222,0.4,0.4889,0.5556,0.5667,0.6,0.6444,0.7,0.7222,0.7667,0.8833500000000001,0.8667,0.7333,0.0,0.0
fri,yck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1444,0.2556,0.3667,0.44439999999999996,0.5667,0.6667000000000001,0.7222,0.7222,0.7333,0.6889,0.6444,0.6889,0.7444,0.7667,0.6778,0.0,0.0
sat,yck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4111,0.58335,0.6889,0.7222,0.7,0.6778,0.7222,0.7667,0.7444,0.7222,0.6556000000000001,0.0,0.0,0.0,0.0
sun,yck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111,0.5222,0.6444,0.7,0.6889,0.6778,0.7,0.7556,0.7778,0.7556,0.6444,0.0,0.0,0.0,0.0
mon,yishun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.18,0.2867,0.39335000000000003,0.38,0.2933,0.2633,0.34,0.45665,0.48,0.57335,0.64665,0.7433,0.56335,0.4767,0.4067
tue,yishun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267,0.25665,0.31,0.3267,0.2733,0.2733,0.32335,0.34,0.37,0.4267,0.49329999999999996,0.6,0.4133,0.39665,0.39665
wed,yishun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09664999999999999,0.12,0.16670000000000001,0.26,0.31329999999999997,0.24664999999999998,0.26,0.31,0.4133,0.4133,0.4667,0.47,0.5133,0.5667,0.5133,0.4733,0.4733
thu,yishun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.2933,0.2933,0.25329999999999997,0.26,0.3267,0.31329999999999997,0.3333,0.36,0.38335,0.45335000000000003,0.49665,0.49329999999999996,0.47,0.47
fri,yishun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.1533,0.22335000000000002,0.2733,0.2733,0.25665,0.3,0.41664999999999996,0.38335,0.34335,0.3533,0.4267,0.47665,0.41335,0.32,0.32
sat,yishun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23329999999999998,0.30335,0.3533,0.4067,0.37329999999999997,0.47,0.5067,0.49,0.4533,0.5067,0.5267000000000001,0.0,0.0,0.0,0.0
sun,yishun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2133,0.29664999999999997,0.29664999999999997,0.3533,0.38670000000000004,0.38670000000000004,0.4733,0.52,0.5166499999999999,0.52335,0.46335,0.0,0.0,0.0,0.0
mon,jurong_east,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809,0.2553,0.3085,0.3936,0.4468,0.3936,0.3404,0.3298,0.3936,0.41490000000000005,0.4681,0.5851,0.7021,0.7659999999999999,0.5,0.0,0.0
tue,jurong_east,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2553,0.3298,0.35109999999999997,0.35109999999999997,0.3404,0.3404,0.38299999999999995,0.4362,0.4681,0.6064,0.7766,0.7979,0.5213,0.0,0.0
